date,datatype,station,value,fl_M,fl_S,elevation,mindate,maxdate,latitude,name,datacoverage,id,elevationUnit,longitude
2018-01-01T00:00:00,PRCP,GHCND:GM000001474,449.2,,E,4,1890-01-01,2020-03-29,53.1017,"BREMEN SEEFAHRTSCHULE, GM",0.9936,GHCND:GM000001474,METERS,8.7842
2018-01-01T00:00:00,PRCP,GHCND:GM000002288,666.9,,E,285,1901-01-01,2020-02-29,49.4253,"KAISERSLAUTERN, GM",0.8609,GHCND:GM000002288,METERS,7.7367
2018-01-01T00:00:00,PRCP,GHCND:GM000003038,414.7,,E,59,1890-01-01,2020-02-29,53.6442,"SCHWERIN, GM",0.9815,GHCND:GM000003038,METERS,11.3883
2018-01-01T00:00:00,PRCP,GHCND:GM000003319,359.3,,E,51,1876-01-01,2020-02-29,52.4639,"BERLIN DAHLEM, GM",0.9964,GHCND:GM000003319,METERS,13.3017
2018-01-01T00:00:00,PRCP,GHCND:GM000003342,345.8,,E,81,1893-01-01,2020-02-29,52.3833,"POTSDAM, GM",1,GHCND:GM000003342,METERS,13.0639
2018-01-01T00:00:00,PRCP,GHCND:GM000004063,440.7,,E,240,1879-01-01,2020-02-29,49.8753,"BAMBERG, GM",1,GHCND:GM000004063,METERS,10.9217
2018-01-01T00:00:00,PRCP,GHCND:GM000004155,1747.7,,E,2964,1900-08-01,2020-02-29,47.4219,"ZUGSPITZE, GM",0.9979,GHCND:GM000004155,METERS,10.9867
2018-01-01T00:00:00,PRCP,GHCND:GM000004199,945.1,,E,515,1879-01-01,2020-02-29,48.1667,"MUNCHEN NYMPHENBURG, GM",0.9829,GHCND:GM000004199,METERS,11.5025
2018-01-01T00:00:00,PRCP,GHCND:GM000004204,415.1,,E,155,1824-01-01,2020-02-29,50.9267,"JENA STERNWARTE, GM",0.9775,GHCND:GM000004204,METERS,11.5842
2018-01-01T00:00:00,PRCP,GHCND:GM000010147,518.7,,E,11,1891-01-01,2020-03-29,53.635,"HAMBURG FUHLSBUETTEL, GM",1,GHCND:GM000010147,METERS,9.99
